region_id	region_name	total-rate	urban-rate	rural-rate	estate-rate
total	District-Total	2.8	2.4	2.8	2.8
LK-11	Colombo	2.3	2.3	2.2	2.8
LK-12	Gampaha	2.4	2.3	2.4	2.8
LK-13	Kalutara	2.5	2.5	2.5	2.7
LK-21	Kandy	2.9	2.6	3.0	2.9
LK-22	Matale	3.0	2.7	3.1	3.0
LK-23	Nuwara Eliya	2.9	2.5	3.2	2.6
LK-31	Galle	2.9	2.7	2.9	3.0
LK-32	Matara	3.2	2.7	3.2	3.2
LK-33	Hambantota	3.4	2.7	3.4	2.5
LK-52	Ampara	3.3	3.3	3.3	
LK-61	Kurunegala	2.8	2.4	2.8	3.0
LK-62	Puttalam	2.7	2.7	2.7	2.5
LK-71	Anuradhapura	3.0	2.6	3.1	2.3
LK-72	Polonnaruwa	3.0		3.0	2.3
LK-81	Badulla	3.1	2.6	3.2	2.9
LK-82	Moneragala	3.4		3.4	3.0
LK-91	Ratnapura	3.0	2.6	3.0	2.8
LK-92	Kegalle	2.8	2.3	2.8	2.8
