region_id	region_name	total-occupied-housing-units	urban	rural	estate
total	District-Total	3969027	488365	3262505	218157
LK-11	Colombo	473045	240531	230684	1830
LK-12	Gampaha	475847	61832	413809	206
LK-13	Kalutara	245784	21141	215191	9452
LK-21	Kandy	291454	30741	237838	22875
LK-22	Matale	108566	7256	95722	5588
LK-23	Nuwara Eliya	164886	8934	69474	86478
LK-31	Galle	229521	20554	204663	4304
LK-32	Matara	174712	12676	157351	4685
LK-33	Hambantota	126362	4369	121905	88
LK-52	Ampara	132371	23327	109044	0
LK-61	Kurunegala	376352	6426	368140	1786
LK-62	Puttalam	174737	13930	160185	622
LK-71	Anuradhapura	186697	10856	175600	241
LK-72	Polonnaruwa	90999	0	90901	98
LK-81	Badulla	185268	10553	136171	38544
LK-82	Moneragala	95966	0	93670	2296
LK-91	Ratnapura	242882	11841	205773	25268
LK-92	Kegalle	193578	3398	176384	13796
