region_id	region_name	total-occupied-housing-units	permanent	semi-permanent	improvised
total	District-Total	3.9	4.4	2.8	1.4
LK-11	Colombo	3.9	4.1	2.3	1.4
LK-12	Gampaha	3.9	4.2	3.0	1.3
LK-13	Kalutara	3.9	4.3	2.4	1.2
LK-21	Kandy	4.2	4.7	2.9	1.3
LK-22	Matale	4.1	4.9	3.2	1.4
LK-23	Nuwara Eliya	3.4	3.9	2.7	1.7
LK-31	Galle	3.9	4.4	2.6	1.3
LK-32	Matara	4.1	4.6	2.8	1.4
LK-33	Hambantota	3.8	4.5	2.9	1.3
LK-52	Ampara	3.4	3.9	2.5	1.2
LK-61	Kurunegala	4.2	4.9	3.1	1.6
LK-62	Puttalam	3.5	4.2	2.4	1.6
LK-71	Anuradhapura	3.8	4.5	3.0	1.4
LK-72	Polonnaruwa	3.8	4.4	2.8	1.2
LK-81	Badulla	4.1	4.7	3.0	1.3
LK-82	Moneragala	3.7	4.6	2.9	1.5
LK-91	Ratnapura	3.6	4.2	2.6	1.4
LK-92	Kegalle	4.1	4.7	2.8	1.5
