region_id	region_name	na	total	urban	na-2	rural	estate
total	District-Total	0	6.3	8.1	0	5.4	14.7
LK-11	Colombo	0	7.7	9.7	0	5.2	11.8
LK-12	Gampaha	0	5.2	7.4	0	4.8	9.4
LK-13	Kalutara	0	7.1	7.8	0	6.6	15.8
LK-21	Kandy	0	5.5	5.6	0	4.8	12.6
LK-22	Matale	0	5.1	5.2	0	4.7	11.3
LK-23	Nuwara Eliya	0	9.7	7.1	0	4.8	13.6
LK-31	Galle	0	5.2	5.2	0	4.9	21.3
LK-32	Matara	0	5.3	4.5	0	4.2	37.7
LK-33	Hambantota	0	4.1	8.5	0	4.0	20.0
LK-52	Ampara	0	7.7	7.1	0	7.9	0
LK-61	Kurunegala	0	5.2	9.3	0	5.1	8.6
LK-62	Puttalam	0	8.3	10.3	0	8.1	17.3
LK-71	Anuradhapura	0	4.9	4.8	0	4.9	1.3
LK-72	Polonnaruwa	0	6.2	0	0	6.2	4.8
LK-81	Badulla	0	6.6	4.6	0	5.3	11.9
LK-82	Moneragala	0	4.9	0	0	4.7	14.2
LK-91	Ratnapura	0	7.7	6.2	0	6.3	20.8
LK-92	Kegalle	0	5.6	8.1	0	4.9	14.1
