region_id	region_name	population-aged-5-years-and-over	percentage-of-population-completed-primary-education-passed-year-1-5	percentage-of-population-completed-lower-secondary-passed-year-6-8	percentage-of-population-completed-upper-secondary-passed-year-9-11	percentage-of-population-completed-tertiary-education-passed-gce-al-above
total	District-Total	15489928.0		22.2		18.6
LK-11	Colombo	2084770.0		15.0		15.3
LK-12	Gampaha	1898061.0		15.9		16.9
LK-13	Kalutara	977738.0		19.5		18.3
LK-21	Kandy	1169643.0		21.6		17.9
LK-22	Matale	402289.0		25.2		19.7
LK-23	Nuwara Eliya	638168.0		29.8		19.6
LK-31	Galle	904949.0		22.5		19.3
LK-32	Matara	695785.0		23.9		18.8
LK-33	Hambantota	480166.0		26.7		19.6
LK-52	Ampara	530936.0		31.0		19.8
LK-61	Kurunegala	1342047.0		22.6		19.8
LK-62	Puttalam	639836.0		27.3		23.6
LK-71	Anuradhapura	677088.0		25.5		20.5
LK-72	Polonnaruwa	327710.0		27.9		20.5
LK-81	Badulla	706552.0		26.3		18.9
LK-82	Moneragala	360308.0		28.5		20.2
LK-91	Ratnapura	933061.0		25.9		19.6
LK-92	Kegalle	720821.0		22.0		18.4
