region_id	region_name	total	00-04	05-09	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-and-over
total	District-Total	16929689	1439761	1483591	1525674	1646827	1591126	1340562	1290121	1258112	1170941	1030560	917139	671403	496177	404749	303473	359473
LK-11	Colombo	2251274	166504	159902	155874	198876	251588	212893	190926	175443	159839	138082	128579	96501	69865	54560	41466	50376
LK-12	Gampaha	2063684	165623	158121	152525	194025	228853	185180	169005	156491	142037	123262	111829	82061	60274	48743	38779	46876
LK-13	Kalutara	1066239	88501	85227	87708	97131	100353	84336	80946	77893	70994	64234	60994	48024	36615	30045	23476	29762
LK-21	Kandy	1279028	109385	113383	119460	125144	114925	91803	92768	94775	88572	79283	72212	53825	41002	31759	23478	27254
LK-22	Matale	441328	39039	39981	42110	44763	38188	32222	32914	33867	31444	27822	23570	16776	12747	10043	7576	8266
LK-23	Nuwara Eliya	703610	65442	67194	70127	69744	62141	51308	50609	52009	48518	42505	40472	30552	20284	14639	8983	9083
LK-31	Galle	990487	85538	89496	94580	95143	83062	70097	70014	68358	64868	57076	53033	42725	33932	29275	23402	29888
LK-32	Matara	761370	65585	70369	75842	74874	61572	52007	51044	51444	51496	45729	40878	31624	23331	22665	18326	24584
LK-33	Hambantota	526414	46248	52697	56187	53992	41786	36724	36959	37521	37360	34278	26580	16932	12828	13135	10218	12969
LK-52	Ampara	592997	62061	65582	62378	66684	55831	47319	45736	43440	37255	29789	24805	17821	12598	9464	6337	5897
LK-61	Kurunegala	1460215	118168	124161	132315	143745	122991	108726	109147	111449	108399	98780	84085	57248	43457	36391	28329	32824
LK-62	Puttalam	709677	69841	70502	68269	75702	70156	56733	51773	49858	44356	40524	36096	24124	17077	13404	9986	11276
LK-71	Anuradhapura	745693	68605	72842	74439	75457	71738	62910	58243	56883	53163	45287	35660	21879	16500	13298	9237	9552
LK-72	Polonnaruwa	358984	31274	34398	35562	36954	33932	30439	28831	28247	25305	21898	17550	11707	8234	6307	4063	4283
LK-81	Badulla	779983	73431	77300	80658	77291	64155	57307	59749	60091	54784	45115	38483	29867	21932	17256	10981	11583
LK-82	Moneragala	397375	37067	44149	45326	42555	34344	29844	29759	30147	27089	22778	17505	11985	8311	6845	4659	5012
LK-91	Ratnapura	1015807	82746	92793	102536	102421	90932	76138	75087	72429	69069	61832	56308	41756	29721	25004	17254	19781
LK-92	Kegalle	785524	64703	65494	69778	72326	64579	54576	56611	57767	56393	52286	48500	35996	27469	21916	16923	20207
