region_id	region_name	total-population-no	total-population-pct	buddhist-no	buddhist	hindu-no	hindu	islam-no	islam	roman-catholic-no	roman-catholic	other-christian-no	other-christian	other-no	other
total	District-Total	16929689.0	100.0	12986548.0	76.7	1312970.0	7.8	1435896.0	8.5	1035740.0	6.1	150182.0	0.9	8353.0	0.0
LK-11	Colombo	2251274.0	100.0	1578246.0	70.1	194743.0	8.7	241944.0	10.7	181920.0	8.1	51334.0	2.3	3087.0	0.1
LK-12	Gampaha	2063684.0	100.0	1479955.0	71.7	42356.0	2.1	93496.0	4.5	418286.0	20.3	28361.0	1.4	1230.0	0.1
LK-13	Kalutara	1066239.0	100.0	883968.0	82.9	34678.0	3.3	105957.0	9.9	36176.0	3.4	5038.0	0.5	422.0	0.0
LK-21	Kandy	1279028.0	100.0	937001.0	73.3	134438.0	10.5	173590.0	13.6	23232.0	1.8	10330.0	0.8	437.0	0.0
LK-22	Matale	441328.0	100.0	348762.0	79.0	42433.0	9.6	39980.0	9.1	8400.0	1.9	1703.0	0.4	50.0	0.0
LK-23	Nuwara Eliya	703610.0	100.0	279139.0	39.7	359135.0	51.0	19099.0	2.7	35008.0	5.0	10741.0	1.5	488.0	0.1
LK-31	Galle	990487.0	100.0	932331.0	94.1	14934.0	1.5	35100.0	3.5	4568.0	0.5	3378.0	0.3	176.0	0.0
LK-32	Matara	761370.0	100.0	716710.0	94.1	17339.0	2.3	22481.0	3.0	2703.0	0.4	2001.0	0.3	136.0	0.0
LK-33	Hambantota	526414.0	100.0	509987.0	96.9	1369.0	0.3	13076.0	2.5	924.0	0.2	949.0	0.2	109.0	0.0
LK-52	Ampara	592997.0	100.0	235652.0	39.7	100213.0	16.9	245179.0	41.3	7816.0	1.3	3969.0	0.7	168.0	0.0
LK-61	Kurunegala	1460215.0	100.0	1300539.0	89.1	13303.0	0.9	98223.0	6.7	40680.0	2.8	6960.0	0.5	510.0	0.0
LK-62	Puttalam	709677.0	100.0	308273.0	43.4	29482.0	4.2	134643.0	19.0	229966.0	32.4	6830.0	1.0	483.0	0.1
LK-71	Anuradhapura	745693.0	100.0	670963.0	90.0	3459.0	0.5	62797.0	8.4	6266.0	0.8	2073.0	0.3	135.0	0.0
LK-72	Polonnaruwa	358984.0	100.0	320491.0	89.3	6592.0	1.8	27225.0	7.6	3883.0	1.1	691.0	0.2	102.0	0.0
LK-81	Badulla	779983.0	100.0	561510.0	72.0	158473.0	20.3	41347.0	5.3	13236.0	1.7	5242.0	0.7	175.0	0.0
LK-82	Moneragala	397375.0	100.0	375252.0	94.4	11623.0	2.9	8183.0	2.1	1583.0	0.4	681.0	0.2	53.0	0.0
LK-91	Ratnapura	1015807.0	100.0	880151.0	86.6	96738.0	9.5	21901.0	2.2	11728.0	1.2	4924.0	0.5	365.0	0.0
LK-92	Kegalle	785524.0	100.0	667618.0	85.0	51662.0	6.6	51675.0	6.6	9365.0	1.2	4977.0	0.6	227.0	0.0
