region_id	region_name	total-population	never-married	never-married-pct	total-married	total-married-pct	married-registered	married-registered-pct	married-customary	married-customary-pct	widowed	widowed-pct	divorced	divorced-pct	legally-separated	legally-separated-pct	seperated-not-legally	seperated-not-legally-pct
total	District-Total	16929689.0	8264148.0	48.8	7817703.0	46.2	7420794.0	43.8	396909.0	2.3	549594.0	3.2	23820.0	0.1	15961.0	0.1	78866.0	0.5
LK-11	Colombo	2251274.0	1089815.0	48.4	1053168.0	46.8	1006987.0	44.7	46181.0	2.1	70407.0	3.1	3533.0	0.2	2002.0	0.1	8974.0	0.4
LK-12	Gampaha	2063684.0	993155.0	48.1	965569.0	46.8	919064.0	44.5	46505.0	2.3	72719.0	3.5	3020.0	0.1	1876.0	0.1	10199.0	0.5
LK-13	Kalutara	1066239.0	502754.0	47.2	504338.0	47.3	482697.0	45.3	21641.0	2.0	35663.0	3.3	1469.0	0.1	887.0	0.1	4781.0	0.4
LK-21	Kandy	1279028.0	636485.0	49.8	577870.0	45.2	547749.0	42.8	30121.0	2.4	42121.0	3.3	1663.0	0.1	1077.0	0.1	4462.0	0.3
LK-22	Matale	441328.0	213130.0	48.3	205416.0	46.5	194098.0	44.0	11318.0	2.6	16214.0	3.7	646.0	0.1	442.0	0.1	2145.0	0.5
LK-23	Nuwara Eliya	703610.0	348465.0	49.5	322197.0	45.8	290260.0	41.3	31937.0	4.5	20870.0	3.0	683.0	0.1	469.0	0.1	1985.0	0.3
LK-31	Galle	990487.0	492852.0	49.8	451845.0	45.6	434167.0	43.8	17678.0	1.8	31599.0	3.2	1128.0	0.1	712.0	0.1	4506.0	0.5
LK-32	Matara	761370.0	387128.0	50.8	339535.0	44.6	326553.0	42.9	12982.0	1.7	23941.0	3.1	881.0	0.1	578.0	0.1	3387.0	0.4
LK-33	Hambantota	526414.0	268662.0	51.0	234267.0	44.5	223790.0	42.5	10477.0	2.0	15273.0	2.9	636.0	0.1	472.0	0.1	2675.0	0.5
LK-52	Ampara	592997.0	315106.0	53.1	250239.0	42.2	231836.0	39.1	18403.0	3.1	17393.0	2.9	1170.0	0.2	1052.0	0.2	2113.0	0.4
LK-61	Kurunegala	1460215.0	670500.0	45.9	697227.0	47.7	669514.0	45.9	27713.0	1.9	60001.0	4.1	3034.0	0.2	2047.0	0.1	9930.0	0.7
LK-62	Puttalam	709677.0	343972.0	48.5	323844.0	45.6	303488.0	42.8	20356.0	2.9	25862.0	3.6	1140.0	0.2	821.0	0.1	5253.0	0.7
LK-71	Anuradhapura	745693.0	360760.0	48.4	348638.0	46.8	331511.0	44.5	17127.0	2.3	23725.0	3.2	998.0	0.1	693.0	0.1	4173.0	0.6
LK-72	Polonnaruwa	358984.0	172910.0	48.2	171057.0	47.7	163109.0	45.4	7948.0	2.2	9586.0	2.7	429.0	0.1	295.0	0.1	1647.0	0.5
LK-81	Badulla	779983.0	389551.0	49.9	355063.0	45.5	334923.0	42.9	20140.0	2.6	21518.0	2.8	691.0	0.1	484.0	0.1	2440.0	0.3
LK-82	Moneragala	397375.0	206034.0	51.8	176112.0	44.3	168570.0	42.4	7542.0	1.9	9198.0	2.3	333.0	0.1	230.0	0.1	1507.0	0.4
LK-91	Ratnapura	1015807.0	502797.0	49.5	466868.0	46.0	436594.0	43.0	30274.0	3.0	26940.0	2.7	1173.0	0.1	903.0	0.1	5136.0	0.5
LK-92	Kegalle	785524.0	370072.0	47.1	374450.0	47.7	355884.0	45.3	18566.0	2.4	26564.0	3.4	1193.0	0.2	921.0	0.1	3553.0	0.5
