region_id	region_name	population-aged-5-34-years	attending-school-pct	attending-university-pct	attending-vocational-or-technical-institution-pct
total	District-Total	8877901.0	40.5	0.7	0.8
LK-11	Colombo	1170059.0	32.0	1.6	1.2
LK-12	Gampaha	1087709.0	34.2	0.8	1.0
LK-13	Kalutara	535701.0	38.3	0.6	1.0
LK-21	Kandy	657483.0	43.9	1.4	0.9
LK-22	Matale	230178.0	43.3	0.3	0.6
LK-23	Nuwara Eliya	371123.0	41.9	0.2	0.5
LK-31	Galle	502392.0	44.0	0.6	0.9
LK-32	Matara	385708.0	46.5	1.1	0.8
LK-33	Hambantota	278345.0	47.9	0.4	0.7
LK-52	Ampara	343530.0	43.1	0.4	0.6
LK-61	Kurunegala	741085.0	43.0	0.5	0.6
LK-62	Puttalam	393135.0	39.1	0.2	0.3
LK-71	Anuradhapura	415629.0	42.3	0.4	0.6
LK-72	Polonnaruwa	200116.0	40.4	0.2	0.7
LK-81	Badulla	416460.0	45.0	0.2	0.8
LK-82	Moneragala	225977.0	47.1	0.3	0.5
LK-91	Ratnapura	539907.0	42.2	0.4	0.5
LK-92	Kegalle	383364.0	43.4	0.5	0.7
