region_id	region_name	total-occupied-housing-units	permanent	permanent-pct	semi-permanent	semi-permanent-pct	improvised	improvised-pct
total	District-Total	3969027.0	2771860.0	69.8	1123003.0	28.3	33799.0	0.9
LK-11	Colombo	473045.0	408473.0	86.3	54234.0	11.5	1293.0	0.3
LK-12	Gampaha	475847.0	380985.0	80.1	83351.0	17.5	5251.0	1.1
LK-13	Kalutara	245784.0	193973.0	78.9	48347.0	19.7	1094.0	0.4
LK-21	Kandy	291454.0	211576.0	72.6	76634.0	26.3	430.0	0.1
LK-22	Matale	108566.0	61990.0	57.1	45588.0	42.0	461.0	0.4
LK-23	Nuwara Eliya	164886.0	106766.0	64.8	54618.0	33.1	300.0	0.2
LK-31	Galle	229521.0	166119.0	72.4	60304.0	26.3	1722.0	0.8
LK-32	Matara	174712.0	126683.0	72.5	46118.0	26.4	1096.0	0.6
LK-33	Hambantota	126362.0	75720.0	59.9	49367.0	39.1	590.0	0.5
LK-52	Ampara	132371.0	87347.0	66.0	39806.0	30.1	3917.0	3.0
LK-61	Kurunegala	376352.0	241602.0	64.2	127978.0	34.0	4493.0	1.2
LK-62	Puttalam	174737.0	107965.0	61.8	55263.0	31.6	9908.0	5.7
LK-71	Anuradhapura	186697.0	99710.0	53.4	84703.0	45.4	853.0	0.5
LK-72	Polonnaruwa	90999.0	54193.0	59.6	35566.0	39.1	431.0	0.5
LK-81	Badulla	185268.0	120557.0	65.1	62426.0	33.7	194.0	0.1
LK-82	Moneragala	95966.0	46691.0	48.7	48327.0	50.4	380.0	0.4
LK-91	Ratnapura	242882.0	148266.0	61.0	92413.0	38.0	406.0	0.2
LK-92	Kegalle	193578.0	133244.0	68.8	57960.0	29.9	980.0	0.5
