region_id	region_name	total-employed-population-aged-10-years-and-over	legislators-senior-officials-and-managers-pct	professionals-pct	technicians-and-associate-professionals-pct	clerks-pct	social-workers-and-shop-and-market-sales-workers-pct	skilled-agricultural-and-fishery-workers-pct	craft-and-related-workers-pct	plant-and-machine-operators-and-assemblers-pct	private-business-owners-pct	elementary-occupations-pct	armed-forces-and-workers-not-identifiable-or-inadequate-pct
total	District-Total	5941574	1.6	5.5	6.6	4.4	6.6	25.2	13.6	7.8	5.5	18.4	4.7
LK-11	Colombo	855142	3.8	7.4	11.6	8.2	10.2	1.8	15.1	10.9	6.0	19.8	5.3
LK-12	Gampaha	756186	2.0	5.2	9.0	6.7	7.7	4.3	20.4	14.6	6.3	19.3	4.6
LK-13	Kalutara	356837	1.5	5.7	8.2	5.8	7.7	13.4	16.8	10.3	6.4	19.3	4.9
LK-21	Kandy	407554	1.5	7.3	7.5	4.5	8.0	18.3	13.2	7.2	7.2	20.3	5.0
LK-22	Matale	156179	1.1	5.1	5.3	2.9	6.0	37.2	10.7	5.1	5.5	17.6	3.4
LK-23	Nuwara Eliya	281546	0.7	3.3	2.6	2.2	5.0	47.7	5.2	3.6	3.5	21.0	5.2
LK-31	Galle	318680	1.5	6.0	6.8	4.2	5.8	25.9	14.6	6.6	5.0	19.5	4.2
LK-32	Matara	242175	1.4	6.4	4.9	3.8	5.2	32.8	13.7	6.1	5.9	17.0	2.8
LK-33	Hambantota	164923	0.9	5.4	5.5	2.7	3.7	40.0	15.0	6.0	4.6	12.7	3.4
LK-52	Ampara	162322	0.9	5.9	3.8	3.0	7.8	35.5	8.5	4.2	6.0	19.1	5.3
LK-61	Kurunegala	514553	1.3	5.5	5.4	3.1	4.8	31.2	15.4	6.5	6.1	16.8	3.9
LK-62	Puttalam	229425	1.2	4.0	3.9	2.8	5.6	20.9	17.1	6.9	7.2	25.9	4.3
LK-71	Anuradhapura	285806	0.8	4.5	3.3	2.5	6.4	51.6	7.2	3.5	4.0	9.3	6.8
LK-72	Polonnaruwa	137078	0.9	3.6	3.0	2.0	5.8	49.8	6.8	3.8	4.1	11.6	8.6
LK-81	Badulla	294223	1.0	5.0	4.1	2.7	4.3	48.8	5.9	3.4	3.7	15.8	5.4
LK-82	Moneragala	144600	0.7	3.9	3.2	2.0	3.8	59.1	5.7	3.4	4.1	10.1	4.0
LK-91	Ratnapura	375365	0.9	3.9	5.6	2.3	3.8	38.2	10.6	5.6	3.8	22.0	3.4
LK-92	Kegalle	258980	1.1	5.7	5.3	3.7	6.5	20.3	17.7	8.4	4.8	21.4	4.9
