region_id	region_name	total	total-pct	sinhalese	sinhalese-pct	sri-lanka-tamil	sri-lanka-tamil-pct	indian-tamil	indian-tamil-pct	sri-lanka-moor	sri-lanka-moor-pct	burgher	burgher-pct	malay	malay-pct	other	other-pct
total	District-Total	16929689.0	100.0	13876245.0	82.0	732149.0	4.3	855025.0	5.1	1339331.0	7.9	35283.0	0.2	54782.0	0.3	36874.0	0.2
LK-11	Colombo	2251274.0	100.0	1724459.0	76.6	247739.0	11.0	24821.0	1.1	202731.0	9.0	15703.0	0.7	21778.0	1.0	14043.0	0.6
LK-12	Gampaha	2063684.0	100.0	1877545.0	91.0	65302.0	3.2	7621.0	0.4	78705.0	3.8	11093.0	0.5	13683.0	0.7	9735.0	0.5
LK-13	Kalutara	1066239.0	100.0	928914.0	87.1	12665.0	1.2	28895.0	2.7	93293.0	8.7	836.0	0.1	973.0	0.1	663.0	0.1
LK-21	Kandy	1279028.0	100.0	947900.0	74.1	52052.0	4.1	103622.0	8.1	168049.0	13.1	2128.0	0.2	2668.0	0.2	2609.0	0.2
LK-22	Matale	441328.0	100.0	353579.0	80.1	24320.0	5.5	23493.0	5.3	38462.0	8.7	402.0	0.1	523.0	0.1	549.0	0.1
LK-23	Nuwara Eliya	703610.0	100.0	282621.0	40.2	46066.0	6.5	355830.0	50.6	16555.0	2.4	632.0	0.1	1059.0	0.2	847.0	0.1
LK-31	Galle	990487.0	100.0	934751.0	94.4	11079.0	1.1	9275.0	0.9	34688.0	3.5	208.0	0.0	178.0	0.0	308.0	0.0
LK-32	Matara	761370.0	100.0	716974.0	94.2	5161.0	0.7	16672.0	2.2	22133.0	2.9	179.0	0.0	87.0	0.0	164.0	0.0
LK-33	Hambantota	526414.0	100.0	510965.0	97.1	1869.0	0.4	424.0	0.1	5646.0	1.1	88.0	0.0	7255.0	1.4	167.0	0.0
LK-52	Ampara	592997.0	100.0	236583.0	39.9	109188.0	18.4	715.0	0.1	244620.0	41.3	1184.0	0.2	225.0	0.0	482.0	0.1
LK-61	Kurunegala	1460215.0	100.0	1341237.0	91.9	17585.0	1.2	2972.0	0.2	94544.0	6.5	613.0	0.0	2150.0	0.1	1114.0	0.1
LK-62	Puttalam	709677.0	100.0	523116.0	73.7	48072.0	6.8	2227.0	0.3	133134.0	18.8	735.0	0.1	1214.0	0.2	1179.0	0.2
LK-71	Anuradhapura	745693.0	100.0	676073.0	90.7	5073.0	0.7	443.0	0.1	61989.0	8.3	179.0	0.0	279.0	0.0	1657.0	0.2
LK-72	Polonnaruwa	358984.0	100.0	324403.0	90.4	7034.0	2.0	194.0	0.1	27075.0	7.5	62.0	0.0	48.0	0.0	168.0	0.0
LK-81	Badulla	779983.0	100.0	564752.0	72.4	29542.0	3.8	143535.0	18.4	38798.0	5.0	583.0	0.1	1813.0	0.2	960.0	0.1
LK-82	Moneragala	397375.0	100.0	375691.0	94.5	5754.0	1.4	7493.0	1.9	7800.0	2.0	124.0	0.0	127.0	0.0	386.0	0.1
LK-91	Ratnapura	1015807.0	100.0	882017.0	86.8	28740.0	2.8	82591.0	8.1	20690.0	2.0	343.0	0.0	444.0	0.0	982.0	0.1
LK-92	Kegalle	785524.0	100.0	674665.0	85.9	14908.0	1.9	44202.0	5.6	50419.0	6.4	191.0	0.0	278.0	0.0	861.0	0.1
