region_id	region_name	total-occupied-housing-units	outer-walls-bricks-cabooks-cement-blocks-stones	outer-walls-bricks-cabooks-cement-blocks-stones-pct	floor-cement-tile-terrazo-granite	floor-cement-tile-terrazo-granite-pct	roof-tile-asbestos-concrete-metal-sheets	roof-tile-asbestos-concrete-metal-sheets-pct
total	District-Total	3969027.0	3022656.0	76.2	3085489.0	77.7	3539016.0	89.2
LK-11	Colombo	473045.0	409547.0	86.6	449702.0	95.1	452227.0	95.6
LK-12	Gampaha	475847.0	385611.0	81.0	437899.0	92.0	442704.0	93.0
LK-13	Kalutara	245784.0	189183.0	77.0	217487.0	88.5	231884.0	94.3
LK-21	Kandy	291454.0	241377.0	82.8	218887.0	75.1	281855.0	96.7
LK-22	Matale	108566.0	78732.0	72.5	66424.0	61.2	96209.0	88.6
LK-23	Nuwara Eliya	164886.0	125905.0	76.4	111981.0	67.9	156083.0	94.7
LK-31	Galle	229521.0	169022.0	73.6	191559.0	83.5	214913.0	93.6
LK-32	Matara	174712.0	136824.0	78.3	137611.0	78.8	164506.0	94.2
LK-33	Hambantota	126362.0	94041.0	74.4	84961.0	67.2	99305.0	78.6
LK-52	Ampara	132371.0	98639.0	74.5	97578.0	73.7	109563.0	82.8
LK-61	Kurunegala	376352.0	278185.0	73.9	268628.0	71.4	284262.0	75.5
LK-62	Puttalam	174737.0	116491.0	66.7	145846.0	83.5	115633.0	66.2
LK-71	Anuradhapura	186697.0	131667.0	70.5	108173.0	57.9	154479.0	82.7
LK-72	Polonnaruwa	90999.0	66791.0	73.4	60091.0	66.0	75062.0	82.5
LK-81	Badulla	185268.0	130543.0	70.5	121736.0	65.7	177335.0	95.7
LK-82	Moneragala	95966.0	61013.0	63.6	49747.0	51.8	81107.0	84.5
LK-91	Ratnapura	242882.0	161863.0	66.6	173170.0	71.3	226472.0	93.2
LK-92	Kegalle	193578.0	147222.0	76.1	144009.0	74.4	175417.0	90.6
