region_id	region_name	total-employed-population	agriculture-and-forestry	fishing	mining-and-quarrying	manufacturing	electricity-gas-and-water-supply	construction	wholesale-and-retail-trade	hotels-and-restaurants	transport-storage-and-communication	financial-intermediation	real-estate-renting-and-business-activities	public-administration-and-defence-compulsory-social-security	education	health-and-social-work	other-community-social-and-personal-service-activities	private-households-with-employed-persons
total	District-Total	5941574.0	27.7	1.0	0.9	17.2	0.2	4.1	11.6	1.8	5.4	1.1	1.6	8.5	3.9	1.7	1.3	1.1
LK-11	Colombo	855142.0	2.1	0.3	0.4	23.1	0.3	4.9	16.7	2.8	8.2	2.5	4.1	10.9	3.7	2.8	2.5	3.3
LK-12	Gampaha	756186.0	4.2	1.1	0.5	34.5	0.2	5.2	14.1	2.0	8.1	1.6	2.6	8.8	3.4	1.6	1.6	1.2
LK-13	Kalutara	356837.0	15.4	0.8	1.1	21.4	0.3	5.1	13.4	2.5	6.3	1.3	1.9	9.4	4.0	1.7	1.5	1.0
LK-21	Kandy	407554.0	21.9	0.0	0.7	13.8	0.3	4.9	14.0	2.4	5.9	1.1	1.5	10.1	5.6	2.4	1.3	1.4
LK-22	Matale	156179.0	39.3	0.1	1.1	10.6	0.1	3.4	11.1	2.1	4.3	0.7	0.9	8.1	3.9	1.2	1.0	0.9
LK-23	Nuwara Eliya	281546.0	61.6	0.0	0.2	6.4	0.0	1.7	6.8	1.3	2.6	0.3	0.4	4.4	2.7	0.9	0.7	0.9
LK-31	Galle	318680.0	29.3	1.2	0.5	16.4	0.1	4.7	10.4	2.4	4.9	0.9	1.1	8.1	4.5	1.7	1.3	0.7
LK-32	Matara	242175.0	35.2	2.4	0.3	15.0	0.2	4.3	10.6	1.1	5.2	1.0	0.9	6.8	5.4	1.5	1.0	0.6
LK-33	Hambantota	164923.0	40.0	3.0	0.5	13.7	0.2	3.9	9.2	1.3	3.7	0.7	0.6	7.3	4.3	1.2	0.9	0.3
LK-52	Ampara	162322.0	40.4	3.6	0.3	6.6	0.2	4.4	9.8	1.0	3.6	0.5	0.3	11.6	5.0	1.4	1.0	0.2
LK-61	Kurunegala	514553.0	33.1	0.2	0.9	16.3	0.1	4.3	10.9	1.2	4.7	0.8	1.0	7.4	4.4	1.6	1.0	0.6
LK-62	Puttalam	229425.0	18.1	9.0	0.6	20.1	0.1	5.5	12.4	1.5	5.5	0.7	1.0	5.9	3.0	1.1	1.2	0.9
LK-71	Anuradhapura	285806.0	51.7	0.6	0.4	6.8	0.1	2.0	7.6	1.1	2.8	0.6	0.6	12.3	3.6	1.3	0.8	0.4
LK-72	Polonnaruwa	137078.0	50.2	1.0	0.4	8.4	0.0	1.4	7.1	1.1	2.5	0.5	0.4	11.5	2.7	0.9	0.8	0.4
LK-81	Badulla	294223.0	55.9	0.1	0.4	5.8	0.1	1.9	7.6	1.0	3.3	0.6	0.6	7.0	4.1	1.5	0.8	0.6
LK-82	Moneragala	144600.0	60.6	0.2	0.5	7.6	0.1	1.5	6.7	0.9	2.6	0.4	0.4	6.6	3.2	0.9	0.7	0.3
LK-91	Ratnapura	375365.0	44.0	0.1	5.8	10.5	0.2	3.0	9.1	1.0	3.4	0.5	0.6	5.1	3.1	1.2	0.7	0.5
LK-92	Kegalle	258980.0	24.7	0.0	1.1	18.5	0.2	5.1	11.0	1.7	6.3	0.9	1.1	7.5	4.6	1.6	1.1	0.8
