region_id	region_name	1981	2001	number	per-cent	average-annual-growth-rate-per-cent
LK	Sri Lanka	14846750.0	18797257.0	3950507.0	26.6	1.2
total	District-Total	13151065.0	16929689.0	3778624.0	28.7	1.2
LK-11	Colombo	1699241.0	2251274.0	552033.0	32.5	1.4
LK-12	Gampaha	1390862.0	2063684.0	672822.0	48.4	1.9
LK-13	Kalutara	829704.0	1066239.0	236535.0	28.5	1.2
LK-21	Kandy	1048317.0	1279028.0	230711.0	22.0	1.0
LK-22	Matale	357354.0	441328.0	83974.0	23.5	1.0
LK-23	Nuwara Eliya	603577.0	703610.0	100033.0	16.6	0.8
LK-31	Galle	814531.0	990487.0	175956.0	21.6	1.0
LK-32	Matara	643786.0	761370.0	117584.0	18.3	0.8
LK-33	Hambantota	424344.0	526414.0	102070.0	24.1	1.1
LK-41	Jaffna	738788.0	490621.0	-248167.0	-33.6	-2.0
LK-43	Mannar	106235.0	151577.0	45342.0	42.7	1.7
LK-44	Vavuniya	95428.0	149835.0	54407.0	57.0	2.2
LK-45	Mullaitivu	77189.0	121667.0	44478.0	57.6	2.2
LK-42	Kilinochchi	91764.0	127263.0	35499.0	38.7	1.6
LK-51	Batticaloa	330333.0	486447.0	156114.0	47.3	1.9
LK-52	Ampara	388970.0	592997.0	204027.0	52.5	2.1
LK-53	Trincomalee	255948.0	340158.0	84210.0	32.9	1.4
LK-61	Kurunegala	1211801.0	1460215.0	248414.0	20.5	0.9
LK-62	Puttalam	492533.0	709677.0	217144.0	44.1	1.8
LK-71	Anuradhapura	587929.0	745693.0	157764.0	26.8	1.2
LK-72	Polonnaruwa	261563.0	358984.0	97421.0	37.2	1.6
LK-81	Badulla	640952.0	779983.0	139031.0	21.7	1.0
LK-82	Moneragala	273570.0	397375.0	123805.0	45.3	1.8
LK-91	Ratnapura	797087.0	1015807.0	218720.0	27.4	1.2
LK-92	Kegalle	684944.0	785524.0	100580.0	14.7	0.7
total	District-Total					
