region_id	region_name	sinhalese-speaking-tamil	sinhalese-speaking-english	sri-lanka-tamil-speaking-sinhala	sri-lanka-tamil-speaking-english	indian-tamil-speaking-sinhala	indian-tamil-speaking-english	sri-lanka-moor-speaking-sinhala	sri-lanka-moor-speaking-english
total	District-Total								
LK-11	Colombo								
LK-12	Gampaha								
LK-13	Kalutara								
LK-21	Kandy								
LK-22	Matale								
LK-23	Nuwara Eliya								
LK-31	Galle								
LK-32	Matara								
LK-33	Hambantota								
LK-52	Ampara								
LK-61	Kurunegala								
LK-62	Puttalam								
LK-71	Anuradhapura								
LK-72	Polonnaruwa								
LK-81	Badulla								
LK-82	Moneragala								
LK-91	Ratnapura								
LK-92	Kegalle								
