region_id	region_name	total-no	total-rate	seeing-no	seeing-rate	hearingspeaking-no	hearingspeaking-rate	hands-no	hands-rate	legs-no	legs-rate	other-physical-disability-no	other-physical-disability-rate	mental-disability-no	mental-disability-rate
total	District-Total														
LK-11	Colombo														
LK-12	Gampaha														
LK-13	Kalutara														
LK-21	Kandy														
LK-22	Matale														
LK-23	Nuwara Eliya														
LK-31	Galle														
LK-32	Matara														
LK-52	Ampara														
