region_id	region_name	total-employed-population	agriculture-and-forestry	fishing	mining-and-quarrying	manufacturing	electricity-gas-and-water-supply	construction	wholesale-and-retail-trade	hotels-and-restaurants	transport-storage-and-communication	financial-intermediation	real-estate-renting-and-business-activities	public-administration-and-defence-compulsory-social-security	education	health-and-social-work	other-community-social-and-personal-service-activities	private-households-with-employed-persons	activitextraterritorial-organisations-and-bodies	industry-in-elementary-occupations-unidentifiable-or-inadequate	works-reporting-industry-unidentifiable-or-inadequate
total	District-Total	5941574																	0.0		
LK-11	Colombo	855142																	0.0		
LK-12	Gampaha	756186																	0.0		
LK-13	Kalutara	356837																	0.0		
LK-21	Kandy	407554																	0.0		
LK-22	Matale	156179																	0.0		
LK-23	Nuwara Eliya	281546																	0.0		
LK-31	Galle	318680																	0.0		
LK-32	Matara	242175																	0.0		
LK-33	Hambantota	164923																	0.0		
LK-52	Ampara	162322																	0.0		
LK-61	Kurunegala	514553																	0.0		
LK-62	Puttalam	229425																	0.0		
LK-71	Anuradhapura	285806																	0.0		
LK-72	Polonnaruwa	137078																	0.0		
LK-81	Badulla	294223																	0.0		
LK-82	Moneragala	144600																	0.0		
LK-91	Ratnapura	375365																	0.0		
LK-92	Kegalle	258980																	0.0		
