region_id	region_name	total-households-in-occupied-housing-units	owned-by-member-of-household-no	owned-by-member-of-household-pct	rent-free-no	rent-free-pct	rent-lease-no	rent-lease-pct	encroached-no	encroached-pct
total	District-Total	4054186.0	3328206.0	82.1	285185.0	7.0	233146.0	5.8	55555.0	1.4
LK-11	Colombo	493085.0	352140.0	71.4	26983.0	5.5	83508.0	16.9	8698.0	1.8
LK-12	Gampaha	487184.0	388431.0	79.7	21386.0	4.4	53677.0	11.0	6980.0	1.4
LK-13	Kalutara	250939.0	213525.0	85.1	14824.0	5.9	11181.0	4.5	2138.0	0.9
LK-21	Kandy	299870.0	239230.0	79.8	26051.0	8.7	16609.0	5.5	4109.0	1.4
LK-22	Matale	110886.0	93981.0	84.8	7941.0	7.2	4101.0	3.7	1288.0	1.2
LK-23	Nuwara Eliya	169540.0	91830.0	54.2	56200.0	33.1	5977.0	3.5	1814.0	1.1
LK-31	Galle	233027.0	204506.0	87.8	10938.0	4.7	7616.0	3.3	2610.0	1.1
LK-32	Matara	177613.0	158496.0	89.2	7768.0	4.4	3751.0	2.1	2428.0	1.4
LK-33	Hambantota	128008.0	117954.0	92.1	2089.0	1.6	2407.0	1.9	2488.0	1.9
LK-52	Ampara	137741.0	121432.0	88.2	6632.0	4.8	2984.0	2.2	2165.0	1.6
LK-61	Kurunegala	380213.0	345090.0	90.8	12913.0	3.4	8283.0	2.2	2765.0	0.7
LK-62	Puttalam	176544.0	147577.0	83.6	13099.0	7.4	5894.0	3.3	2180.0	1.2
LK-71	Anuradhapura	189699.0	171771.0	90.5	3969.0	2.1	5288.0	2.8	3114.0	1.6
LK-72	Polonnaruwa	91718.0	82037.0	89.4	2260.0	2.5	2462.0	2.7	2078.0	2.3
LK-81	Badulla	189925.0	138463.0	72.9	33535.0	17.7	6652.0	3.5	3203.0	1.7
LK-82	Moneragala	96598.0	87064.0	90.1	2930.0	3.0	2256.0	2.3	1853.0	1.9
LK-91	Ratnapura	245743.0	204306.0	83.1	22085.0	9.0	6086.0	2.5	4466.0	1.8
LK-92	Kegalle	195853.0	170373.0	87.0	13582.0	6.9	4414.0	2.3	1178.0	0.6
