region_id	region_name	total-occupied-housing-units	using-toilets-exclusively	using-toilets-exclusively-pct	hygienic-toilets	hygienic-toilets-pct	not-using-toilet	not-using-toilet-pct
total	District-Total	4054186.0	3196227.0	78.8	2685915.0	66.3	177959.0	4.4
LK-11	Colombo	493085.0	370456.0	75.1	381191.0	77.3	1411.0	0.3
LK-12	Gampaha	487184.0	391309.0	80.3	378507.0	77.7	3912.0	0.8
LK-13	Kalutara	250939.0	206047.0	82.1	195994.0	78.1	4393.0	1.8
LK-21	Kandy	299870.0	246132.0	82.1	193425.0	64.5	7022.0	2.3
LK-22	Matale	110886.0	89229.0	80.5	51884.0	46.8	3169.0	2.9
LK-23	Nuwara Eliya	169540.0	110323.0	65.1	69990.0	41.3	18739.0	11.1
LK-31	Galle	233027.0	191922.0	82.4	173003.0	74.2	6435.0	2.8
LK-32	Matara	177613.0	151140.0	85.1	142459.0	80.2	2000.0	1.1
LK-33	Hambantota	128008.0	107323.0	83.8	74225.0	58.0	2868.0	2.2
LK-52	Ampara	137741.0	92019.0	66.8	68048.0	49.4	27657.0	20.1
LK-61	Kurunegala	380213.0	300982.0	79.2	261217.0	68.7	24156.0	6.4
LK-62	Puttalam	176544.0	126466.0	71.6	120504.0	68.3	21487.0	12.2
LK-71	Anuradhapura	189699.0	138832.0	73.2	90923.0	47.9	24046.0	12.7
LK-72	Polonnaruwa	91718.0	72205.0	78.7	49009.0	53.4	5793.0	6.3
LK-81	Badulla	189925.0	151381.0	79.7	103370.0	54.4	7269.0	3.8
LK-82	Moneragala	96598.0	82529.0	85.4	42431.0	43.9	5475.0	5.7
LK-91	Ratnapura	245743.0	201370.0	81.9	160909.0	65.5	7212.0	2.9
LK-92	Kegalle	195853.0	166562.0	85.0	128826.0	65.8	4915.0	2.5
