region_id	region_name	aged-10-years-and-over	students	unable-to-work	pension-recipients-and-pensioners	household-work	others
total	District-Total	7413175.0	34.2	8.2	3.7	44.7	9.3
LK-11	Colombo	974012.0	29.1	6.5	5.8	47.8	10.7
LK-12	Gampaha	903634.0	29.1	7.2	5.2	49.2	9.3
LK-13	Kalutara	485711.0	30.4	8.8	4.2	46.7	9.9
LK-21	Kandy	598478.0	35.6	7.6	4.1	43.7	9.0
LK-22	Matale	192017.0	35.7	8.6	3.1	44.7	7.9
LK-23	Nuwara Eliya	265316.0	40.1	12.0	3.8	32.2	11.8
LK-31	Galle	454606.0	34.0	9.2	3.6	43.7	9.4
LK-32	Matara	350275.0	37.0	9.7	3.0	42.9	7.4
LK-33	Hambantota	240681.0	38.3	8.8	1.8	43.1	8.1
LK-52	Ampara	279542.0	35.7	7.1	1.3	46.9	9.0
LK-61	Kurunegala	651584.0	34.7	8.7	2.9	45.8	7.8
LK-62	Puttalam	317413.0	31.2	7.7	2.4	49.3	9.4
LK-71	Anuradhapura	298176.0	39.6	7.4	2.5	41.7	8.8
LK-72	Polonnaruwa	145059.0	36.9	6.2	2.0	45.9	9.1
LK-81	Badulla	307311.0	41.8	9.3	3.4	35.7	9.8
LK-82	Moneragala	159918.0	44.2	7.9	1.5	37.7	8.7
LK-91	Ratnapura	427657.0	37.1	9.0	2.2	41.5	10.1
LK-92	Kegalle	361785.0	32.7	9.4	3.3	45.2	9.4
