region_id	region_name	total-occupied-housing-units	firewood	firewood-pct	lp-gas	lp-gas-pct	kerosene	kerosene-pct
total	District-Total	4054186.0	3242693.0	80.0	600110.0	14.8	123777.0	3.1
LK-11	Colombo	493085.0	167171.0	33.9	238322.0	48.3	67194.0	13.6
LK-12	Gampaha	487184.0	325498.0	66.8	118810.0	24.4	29492.0	6.1
LK-13	Kalutara	250939.0	200912.0	80.1	41692.0	16.6	3671.0	1.5
LK-21	Kandy	299870.0	248519.0	82.9	41399.0	13.8	3954.0	1.3
LK-22	Matale	110886.0	102081.0	92.1	6897.0	6.2	631.0	0.6
LK-23	Nuwara Eliya	169540.0	148156.0	87.4	11844.0	7.0	3726.0	2.2
LK-31	Galle	233027.0	200988.0	86.3	26750.0	11.5	2002.0	0.9
LK-32	Matara	177613.0	158039.0	89.0	16407.0	9.2	1070.0	0.6
LK-33	Hambantota	128008.0	120500.0	94.1	5699.0	4.5	429.0	0.3
LK-52	Ampara	137741.0	118468.0	86.0	10953.0	8.0	2718.0	2.0
LK-61	Kurunegala	380213.0	358604.0	94.3	16381.0	4.3	986.0	0.3
LK-62	Puttalam	176544.0	156112.0	88.4	14063.0	8.0	3459.0	2.0
LK-71	Anuradhapura	189699.0	175422.0	92.5	10532.0	5.6	884.0	0.5
LK-72	Polonnaruwa	91718.0	86052.0	93.8	3670.0	4.0	365.0	0.4
LK-81	Badulla	189925.0	172447.0	90.8	11999.0	6.3	1248.0	0.7
LK-82	Moneragala	96598.0	92222.0	95.5	2523.0	2.6	254.0	0.3
LK-91	Ratnapura	245743.0	228272.0	92.9	12814.0	5.2	1075.0	0.4
LK-92	Kegalle	195853.0	183230.0	93.6	9355.0	4.8	619.0	0.3
