region_id	region_name	total-occupied-housing-units	pipe-borne-water	pipe-borne-water-pct	safe-water	safe-water-pct
total	District-Total	4054186	1089879	26.9	3316815	81.8
LK-11	Colombo	493085	307322	62.3	470952	95.5
LK-12	Gampaha	487184	108422	22.3	445432	91.4
LK-13	Kalutara	250939	46495	18.5	210772	84.0
LK-21	Kandy	299870	115022	38.4	244357	81.5
LK-22	Matale	110886	24830	22.4	89249	80.5
LK-23	Nuwara Eliya	169540	85586	50.5	115079	67.9
LK-31	Galle	233027	44334	19.0	189283	81.2
LK-32	Matara	177613	49703	28.0	137502	77.4
LK-33	Hambantota	128008	42704	33.4	106758	83.4
LK-52	Ampara	137741	13439	9.8	117669	85.4
LK-61	Kurunegala	380213	14795	3.9	323114	85.0
LK-62	Puttalam	176544	19899	11.3	159325	90.2
LK-71	Anuradhapura	189699	18137	9.6	157565	83.1
LK-72	Polonnaruwa	91718	10000	10.9	69041	75.3
LK-81	Badulla	189925	71667	37.7	133391	70.2
LK-82	Moneragala	96598	13472	13.9	61278	63.4
LK-91	Ratnapura	245743	68415	27.8	150709	61.3
LK-92	Kegalle	195853	35637	18.2	135339	69.1
