region_id	region_name	aged-10-years-and-over	technicians-and-clerks	private-business-owners	workers	occupations-unidentifiable-or-inadequate
total	District-Total	5941574.0	18.2	17.6	25.0	11.0
LK-11	Colombo	855142.0	30.9	24.7	30.9	11.3
LK-12	Gampaha	756186.0	22.8	20.0	41.8	10.5
LK-13	Kalutara	356837.0	21.3	20.5	30.9	12.0
LK-21	Kandy	407554.0	20.8	22.1	23.3	12.1
LK-22	Matale	156179.0	14.4	16.3	18.1	11.7
LK-23	Nuwara Eliya	281546.0	8.7	11.7	10.4	8.4
LK-31	Galle	318680.0	18.5	15.4	24.6	12.1
LK-32	Matara	242175.0	16.5	15.4	23.4	8.3
LK-33	Hambantota	164923.0	14.5	12.7	22.5	9.0
LK-52	Ampara	162322.0	13.5	19.2	14.9	8.3
LK-61	Kurunegala	514553.0	15.3	16.3	24.5	11.5
LK-62	Puttalam	229425.0	12.0	19.7	29.6	13.1
LK-71	Anuradhapura	285806.0	11.1	13.2	11.7	11.6
LK-72	Polonnaruwa	137078.0	9.4	14.2	11.6	13.8
LK-81	Badulla	294223.0	12.7	11.9	10.7	9.5
LK-82	Moneragala	144600.0	9.7	11.1	10.8	7.5
LK-91	Ratnapura	375365.0	12.7	12.0	21.7	10.4
LK-92	Kegalle	258980.0	15.9	16.4	29.5	14.1
