region_id	region_name	total-housing-units	huts-and-shanties	huts-and-shanties-pct
total	District-Total	3969027.0	33188.0	0.8
LK-11	Colombo	473045.0	7278.0	1.5
LK-12	Gampaha	475847.0	3012.0	0.6
LK-13	Kalutara	245784.0	1013.0	0.4
LK-21	Kandy	291454.0	996.0	0.3
LK-22	Matale	108566.0	449.0	0.4
LK-23	Nuwara Eliya	164886.0	1549.0	0.9
LK-31	Galle	229521.0	991.0	0.4
LK-32	Matara	174712.0	741.0	0.4
LK-33	Hambantota	126362.0	877.0	0.7
LK-52	Ampara	132371.0	4513.0	3.4
LK-61	Kurunegala	376352.0	2388.0	0.6
LK-62	Puttalam	174737.0	4919.0	2.8
LK-71	Anuradhapura	186697.0	852.0	0.5
LK-72	Polonnaruwa	90999.0	503.0	0.6
LK-81	Badulla	185268.0	783.0	0.4
LK-82	Moneragala	95966.0	743.0	0.8
LK-91	Ratnapura	242882.0	745.0	0.3
LK-92	Kegalle	193578.0	836.0	0.4
