region_id	region_name	total-pct	urban-pct	rural-pct	estate-pct
total	District-Total	6.3	8.1	5.4	14.7
LK-11	Colombo	7.7	9.7	5.2	11.8
LK-12	Gampaha	5.2	7.4	4.8	9.4
LK-13	Kalutara	7.1	7.8	6.6	15.8
LK-21	Kandy	5.5	5.6	4.8	12.6
LK-22	Matale	5.1	5.2	4.7	11.3
LK-23	Nuwara Eliya	9.7	7.1	4.8	13.6
LK-31	Galle	5.2	5.2	4.9	21.3
LK-32	Matara	5.3	4.5	4.2	37.7
LK-33	Hambantota	4.1	8.5	4.0	20.0
LK-52	Ampara	7.7	7.1	7.9	0
LK-61	Kurunegala	5.2	9.3	5.1	8.6
LK-62	Puttalam	8.3	10.3	8.1	17.3
LK-71	Anuradhapura	4.9	4.8	4.9	1.3
LK-72	Polonnaruwa	6.2	0	6.2	4.8
LK-81	Badulla	6.6	4.6	5.3	11.9
LK-82	Moneragala	4.9	0	4.7	14.2
LK-91	Ratnapura	7.7	6.2	6.3	20.8
LK-92	Kegalle	5.6	8.1	4.9	14.1
