region_id	region_name	total	urban	rural	estate	average-household-size	female-headed-households	female-headed-households-pct
total	District-Total	4054186.0	511717.0	3320198.0	222271.0	4.2	814725.0	20.1
LK-11	Colombo	493085.0	254576.0	236651.0	1858.0	4.4	105140.0	21.3
LK-12	Gampaha	487184.0	64254.0	422722.0	208.0	4.2	98424.0	20.2
LK-13	Kalutara	250939.0	22018.0	219320.0	9601.0	4.3	48830.0	19.5
LK-21	Kandy	299870.0	31683.0	244976.0	23211.0	4.3	66914.0	22.3
LK-22	Matale	110886.0	7460.0	97769.0	5657.0	4.0	23014.0	20.8
LK-23	Nuwara Eliya	169540.0	9545.0	71496.0	88499.0	4.3	30810.0	18.2
LK-31	Galle	233027.0	21256.0	207441.0	4330.0	4.3	50163.0	21.5
LK-32	Matara	177613.0	13176.0	159718.0	4719.0	4.4	39188.0	22.1
LK-33	Hambantota	128008.0	4523.0	123398.0	87.0	4.2	25504.0	19.9
LK-52	Ampara	137741.0	25115.0	112626.0	0	4.2	27505.0	20.0
LK-61	Kurunegala	380213.0	6511.0	371906.0	1796.0	3.9	79141.0	20.8
LK-62	Puttalam	176544.0	14208.0	161713.0	623.0	4.1	35162.0	19.9
LK-71	Anuradhapura	189699.0	11030.0	178427.0	242.0	3.9	36560.0	19.3
LK-72	Polonnaruwa	91718.0	0	91620.0	98.0	3.9	17164.0	18.7
LK-81	Badulla	189925.0	10849.0	139571.0	39505.0	4.2	34959.0	18.4
LK-82	Moneragala	96598.0	0	94295.0	2303.0	4.2	14556.0	15.1
LK-91	Ratnapura	245743.0	12059.0	208081.0	25603.0	4.2	40151.0	16.3
LK-92	Kegalle	195853.0	3454.0	178468.0	13931.0	4.1	41540.0	21.2
