region_id	region_name	usual-resident	resident-since-birth	total-migrants	migrants-less-than-1-year	migrants-1-4-years	migrants-5-9-years	migrants-10-years-and-more	migrants-not-stated
total	District-Total	16929689.0	13532329.0	3397360.0	364648.0	652617.0	481947.0	1639044.0	259104.0
LK-11	Colombo	2239696.0	1517117.0	722579.0	94122.0	161114.0	108793.0	305984.0	52566.0
LK-12	Gampaha	2060470.0	1448241.0	612229.0	83331.0	154664.0	102170.0	235453.0	36611.0
LK-13	Kalutara	1065635.0	881728.0	183907.0	21491.0	39594.0	31448.0	78565.0	12809.0
LK-21	Kandy	1276202.0	1078530.0	197672.0	21784.0	41376.0	30117.0	91402.0	12993.0
LK-22	Matale	439031.0	344400.0	94631.0	8412.0	15245.0	12596.0	52196.0	6182.0
LK-23	Nuwara Eliya	702689.0	605163.0	97526.0	5978.0	14024.0	11589.0	54548.0	11387.0
LK-31	Galle	989769.0	885411.0	104358.0	13392.0	21334.0	15168.0	45946.0	8518.0
LK-32	Matara	760990.0	678288.0	82702.0	9509.0	17045.0	12725.0	36419.0	7004.0
LK-33	Hambantota	525913.0	448664.0	77249.0	6886.0	12360.0	9538.0	42788.0	5677.0
LK-41	Jaffna	1721.0	643.0	1078.0	265.0	328.0	229.0	104.0	152.0
LK-43	Mannar	480.0	99.0	381.0	127.0	125.0	52.0	33.0	44.0
LK-44	Vavuniya	912.0	178.0	734.0	121.0	308.0	117.0	106.0	82.0
LK-45	Mullaitivu	106.0	26.0	80.0	13.0	23.0	20.0	14.0	10.0
LK-42	Kilinochchi	66.0	20.0	46.0	3.0	5.0	8.0	16.0	14.0
LK-51	Batticaloa	1495.0	860.0	635.0	212.0	100.0	70.0	136.0	117.0
LK-52	Ampara	592596.0	488706.0	103890.0	6636.0	11796.0	12183.0	66535.0	6740.0
LK-53	Trincomalee	1562.0	664.0	898.0	137.0	229.0	110.0	274.0	148.0
LK-61	Kurunegala	1458385.0	1266821.0	191564.0	17659.0	36093.0	27914.0	97788.0	12110.0
LK-62	Puttalam	709002.0	553167.0	155835.0	12772.0	22402.0	17994.0	91626.0	11041.0
LK-71	Anuradhapura	742535.0	563992.0	178543.0	14240.0	23614.0	18126.0	111070.0	11493.0
LK-72	Polonnaruwa	358804.0	219193.0	139611.0	8799.0	15231.0	15887.0	91410.0	8284.0
LK-81	Badulla	778422.0	686415.0	92007.0	10029.0	15707.0	12156.0	45645.0	8470.0
LK-82	Moneragala	396521.0	295879.0	100642.0	5316.0	11214.0	11115.0	67360.0	5637.0
LK-91	Ratnapura	1016221.0	889945.0	126276.0	10090.0	19112.0	14793.0	72669.0	9612.0
LK-92	Kegalle	784371.0	677473.0	106898.0	8854.0	18475.0	16151.0	49291.0	14127.0
