district,total_population,male,female,sex_ratio_males_per_100_females,pop_density_per_sqkm
Sri Lanka(a),18797257,9359148,9438109,99.2,300
Total - 18 Districts,16929689,8425607,8504082,99.1,344
Colombo,2251274,1151413,1099861,104.7,3330
Gampaha,2063684,1007702,1055982,95.4,1539
Kalutara,1066239,527281,538958,97.8,677
Kandy,1279028,623966,655062,95.3,667
Matale,441328,220070,221258,99.5,226
Nuwara Eliya,703610,350024,353586,99.0,412
Galle,990487,481849,508638,94.7,613
Matara,761370,369247,392123,94.2,600
Hambantota,526414,263197,263217,100.0,211
Jaffna(a),490621,242719,247902,97.9,528
Mannar(a),151577,75024,76553,98.0,81
Vavuniya(a),149835,75273,74562,101.0,81
Mullaitivu(a),121667,60199,61468,97.9,50
Kilinochchi(a),127263,63005,64258,98.1,106
Batticaloa(a),486447,240314,246133,97.6,186
Ampara,592997,299004,293993,101.7,140
Trincomalee(a),340158,177007,163151,108.5,135
Kurunegala,1460215,723179,737036,98.1,316
Puttalam,709677,352455,357222,98.7,246
Anuradhapura,745693,380516,365177,104.2,112
Polonnaruwa,358984,187789,171195,109.7,117
Badulla,779983,387583,392400,98.8,276
Moneragala,397375,202816,194559,104.2,72
Ratnapura,1015807,512903,502904,102.0,314
Kegalle,785524,384613,400911,95.9,466
