district,total_agricultural_fishery_workers,crop_growers_pct,animal_producers_pct,market_gardeners_pct,related_agricultural_workers_pct,hunters_trappers_pct,fishery_workers_pct,related_fishery_workers_pct,not_elsewhere_classifiable_pct
Total,1672965,64.3,1.6,0.0,0.0,2.7,20.8,0.1,10.5
Colombo,18470,45.8,7.1,0.0,0.0,9.2,22.6,0.7,14.6
Gampaha,37142,51.4,6.2,0.1,0.0,19.1,10.3,0.5,12.4
Kalutara,54749,42.4,2.5,0.0,0.0,3.6,38.6,0.2,12.7
Kandy,88506,55.1,4.5,0.0,0.0,0.1,24.1,0.2,16.0
Matale,61711,86.7,1.1,0.0,0.0,0.1,6.3,0.0,5.8
Nuwara Eliya,171183,26.0,0.9,0.0,0.0,0.1,51.5,0.1,21.5
Galle,93565,37.9,1.1,0.0,0.0,3.0,46.2,0.0,11.8
Matara,88449,47.4,0.6,0.0,0.0,5.3,36.6,0.0,10.1
Hambantota,68095,88.7,2.0,0.0,0.0,3.8,2.4,0.1,3.1
Ampara,71505,75.6,0.8,0.0,0.0,3.9,0.1,0.1,19.4
Kurunegala,166636,90.4,2.9,0.0,0.0,0.3,2.6,0.1,3.6
Puttalam,58797,43.1,4.4,0.0,0.0,28.6,4.8,0.4,18.6
Anuradhapura,149538,96.6,1.1,0.0,0.0,1.0,0.0,0.0,1.3
Polonnaruwa,69769,95.8,0.5,0.0,0.0,1.5,0.0,0.0,2.1
Badulla,162159,63.2,0.9,0.0,0.0,0.1,24.1,0.0,11.5
Moneragala,87986,94.5,0.6,0.0,0.0,0.2,1.8,0.0,2.8
Ratnapura,162334,53.8,0.4,0.0,0.0,0.1,34.1,0.0,11.7
Kegalle,62371,43.0,1.4,0.0,0.0,0.1,39.7,0.1,15.7
