district,total_population,total_pct,sinhalese_no,sinhalese_pct,sl_tamil_no,sl_tamil_pct,indian_tamil_no,indian_tamil_pct,sl_moor_no,sl_moor_pct,burgher_no,burgher_pct,malay_no,malay_pct,other_no,other_pct
Total,16929689,100,13876245,82.0,732149,4.3,855025,5.1,1339331,7.9,35283,0.2,54782,0.3,36874,0.2
Colombo,2251274,100,1724459,76.6,247739,11.0,24821,1.1,202731,9.0,15703,0.7,21778,1.0,14043,0.6
Gampaha,2063684,100,1877545,91.0,65302,3.2,7621,0.4,78705,3.8,11093,0.5,13683,0.7,9735,0.5
Kalutara,1066239,100,928914,87.1,12665,1.2,28895,2.7,93293,8.7,836,0.1,973,0.1,663,0.1
Kandy,1279028,100,947900,74.1,52052,4.1,103622,8.1,168049,13.1,2128,0.2,2668,0.2,2609,0.2
Matale,441328,100,353579,80.1,24320,5.5,23493,5.3,38462,8.7,402,0.1,523,0.1,549,0.1
Nuwara Eliya,703610,100,282621,40.2,46066,6.5,355830,50.6,16555,2.4,632,0.1,1059,0.2,847,0.1
Galle,990487,100,934751,94.4,11079,1.1,9275,0.9,34688,3.5,208,0.0,178,0.0,308,0.0
Matara,761370,100,716974,94.2,5161,0.7,16672,2.2,22133,2.9,179,0.0,87,0.0,164,0.0
Hambantota,526414,100,510965,97.1,1869,0.4,424,0.1,5646,1.1,88,0.0,7255,1.4,167,0.0
Ampara,592997,100,236583,39.9,109188,18.4,715,0.1,244620,41.3,1184,0.2,225,0.0,482,0.1
Kurunegala,1460215,100,1341237,91.9,17585,1.2,2972,0.2,94544,6.5,613,0.0,2150,0.1,1114,0.1
Puttalam,709677,100,523116,73.7,48072,6.8,2227,0.3,133134,18.8,735,0.1,1214,0.2,1179,0.2
Anuradhapura,745693,100,676073,90.7,5073,0.7,443,0.1,61989,8.3,179,0.0,279,0.0,1657,0.2
Polonnaruwa,358984,100,324403,90.4,7034,2.0,194,0.1,27075,7.5,62,0.0,48,0.0,168,0.0
Badulla,779983,100,564752,72.4,29542,3.8,143535,18.4,38798,5.0,583,0.1,1813,0.2,960,0.1
Moneragala,397375,100,375691,94.5,5754,1.4,7493,1.9,7800,2.0,124,0.0,127,0.0,386,0.1
Ratnapura,1015807,100,882017,86.8,28740,2.8,82591,8.1,20690,2.0,343,0.0,444,0.0,982,0.1
Kegalle,785524,100,674665,85.9,14908,1.9,44202,5.6,50419,6.4,191,0.0,278,0.0,861,0.1
