region_id,total_employed_pop,govt_employees_pct,semi_govt_pct,private_employees_pct,own_account_workers_pct,unpaid_family_workers_pct
Total,5941574,13.0,5.1,47.1,27.4,7.5
LK-11,855142,14.5,5.3,63.1,15.4,1.7
LK-12,756186,11.9,5.2,63.1,17.8,2.0
LK-13,356837,13.7,5.7,55.5,21.6,3.6
LK-21,407554,16.2,7.4,46.7,24.2,5.4
LK-22,156179,12.2,4.9,33.9,35.9,13.1
LK-23,281546,7.9,12.7,55.3,18.1,6.2
LK-31,318680,14.0,3.6,49.8,25.1,7.6
LK-32,242175,12.9,5.6,43.4,29.8,8.3
LK-33,164923,12.6,2.9,25.5,48.7,10.3
LK-53,162322,17.6,2.6,31.3,40.0,8.6
LK-61,514553,13.0,3.1,36.4,36.9,10.6
LK-62,229425,9.0,2.6,55.8,27.9,4.7
LK-71,285806,16.8,2.5,17.6,43.1,20.0
LK-72,137078,15.0,2.1,20.3,45.6,17.1
LK-81,294223,12.4,6.3,35.1,31.3,15.0
LK-82,144600,10.7,3.4,16.1,47.0,22.7
LK-91,375365,8.7,4.9,45.5,31.6,9.3
LK-92,258980,13.2,5.6,53.0,24.2,3.9
