region_id,total_employed_pop_age_10plus,total_lfpr_pct,male_lfpr_pct,female_lfpr_pct
Total,5941574,46.6,65.5,28.1
LK-11,855142,48.4,67.6,28.6
LK-12,756186,47.7,67.3,29.4
LK-13,356837,44.9,64.1,26.4
LK-21,407554,42.9,62.0,25.0
LK-22,156179,46.8,67.0,26.9
LK-23,281546,53.2,63.5,43.1
LK-31,318680,44.0,61.8,27.5
LK-32,242175,43.8,61.4,27.7
LK-33,164923,43.5,63.8,23.3
LK-53,162322,39.5,63.6,15.2
LK-61,514553,46.2,66.6,26.4
LK-62,229425,43.7,67.0,20.9
LK-71,285806,50.4,68.7,31.3
LK-72,137078,50.2,72.0,26.0
LK-81,294223,50.7,65.2,36.6
LK-82,144600,49.2,67.1,30.6
LK-91,375365,48.8,66.3,31.1
LK-92,258980,44.4,63.2,26.7
