region_id,total_population_aged_5_34,attending_school_pct,attending_university_pct,attending_technical_institution_pct
Total,8877901,40.5,0.7,0.8
LK-11,1170059,32.0,1.6,1.2
LK-12,1087709,34.2,0.8,1.0
LK-13,535701,38.3,0.6,1.0
LK-21,657483,43.9,1.4,0.9
LK-22,230178,43.3,0.3,0.6
LK-23,371123,41.9,0.2,0.5
LK-31,502392,44.0,0.6,0.9
LK-32,385708,46.5,1.1,0.8
LK-33,278345,47.9,0.4,0.7
LK-53,343530,43.1,0.4,0.6
LK-61,741085,43.0,0.5,0.6
LK-62,393135,39.1,0.2,0.3
LK-71,415629,42.3,0.4,0.6
LK-72,200116,40.4,0.2,0.7
LK-81,416460,45.0,0.2,0.8
LK-82,225977,47.1,0.3,0.5
LK-91,539907,42.2,0.4,0.5
LK-92,383364,43.4,0.5,0.7
