district,total_employed_pop,legislators_professionals_technicians_clerks_pct,service_private_business_owners_pct,related_workers_pct,not_identifiable_pct
Total,5941574,18.2,17.6,25.0,11.0
Colombo,855142,30.9,24.7,30.9,11.3
Gampaha,756186,22.8,20.0,41.8,10.5
Kalutara,356837,21.3,20.5,30.9,12.0
Kandy,407554,20.8,22.1,23.3,12.1
Matale,156179,14.4,16.3,18.1,11.7
Nuwara Eliya,281546,8.7,11.7,10.4,8.4
Galle,318680,18.5,15.4,24.6,12.1
Matara,242175,16.5,15.4,23.4,8.3
Hambantota,164923,14.5,12.7,22.5,9.0
Ampara,162322,13.5,19.2,14.9,8.3
Kurunegala,514553,15.3,16.3,24.5,11.5
Puttalam,229425,12.0,19.7,29.6,13.1
Anuradhapura,285806,11.1,13.2,11.7,11.6
Polonnaruwa,137078,9.4,14.2,11.6,13.8
Badulla,294223,12.7,11.9,10.7,9.5
Moneragala,144600,9.7,11.1,10.8,7.5
Ratnapura,375365,12.7,12.0,21.7,10.4
Kegalle,258980,15.9,16.4,29.5,14.1
