region_id,total_households,urban_households,rural_households,estate_households,avg_household_size,female_headed_hh_no,female_headed_hh_pct
Total,4054186,511717,3320198,222271,4.2,814725,20.1
LK-11,493085,254576,236651,1858,4.4,105140,21.3
LK-12,487184,64254,422722,208,4.2,98424,20.2
LK-13,250939,22018,219320,9601,4.3,48830,19.5
LK-21,299870,31683,244976,23211,4.3,66914,22.3
LK-22,110886,7460,97769,5657,4.0,23014,20.8
LK-23,169540,9545,71496,88499,4.3,30810,18.2
LK-31,233027,21256,207441,4330,4.3,50163,21.5
LK-32,177613,13176,159718,4719,4.4,39188,22.1
LK-33,128008,4523,123398,87,4.2,25504,19.9
LK-53,137741,25115,112626,4.2,27505,20.0,
LK-61,380213,6511,371906,1796,3.9,79141,20.8
LK-62,176544,14208,161713,623,4.1,35162,19.9
LK-71,189699,11030,178427,242,3.9,36560,19.3
LK-72,91718,91620,98,3.9,17164,18.7,
LK-81,189925,10849,139571,39505,4.2,34959,18.4
LK-82,96598,94295,2303,4.2,14556,15.1,
LK-91,245743,12059,208081,25603,4.2,40151,16.3
LK-92,195853,3454,178468,13931,4.1,41540,21.2
