region_id,avg_children_born_total,avg_children_born_urban,avg_children_born_rural,avg_children_born_estate
Total,2.8,2.4,2.8,2.8
LK-11,2.3,2.3,2.2,2.8
LK-12,2.4,2.3,2.4,2.8
LK-13,2.5,2.5,2.5,2.7
LK-21,2.9,2.6,3.0,2.9
LK-22,3.0,2.7,3.1,3
LK-23,2.9,2.5,3.2,2.6
LK-31,2.9,2.7,2.9,3
LK-32,3.2,2.7,3.2,3.2
LK-33,3.4,2.7,3.4,2.5
LK-53,3.3,3.3,3.3,
LK-61,2.8,2.4,2.8,3
LK-62,2.7,2.7,2.7,2.5
LK-71,3.0,2.6,3.1,2.3
LK-72,3.0,3.0,2.3,
LK-81,3.1,2.6,3.2,2.9
LK-82,3.4,3.4,3,
LK-91,3.0,2.6,3.0,2.8
LK-92,2.8,2.3,2.8,2.8
