region_id,total_literacy_rate_pct,male_literacy_rate_pct,female_literacy_rate_pct,urban_literacy_rate_pct,rural_literacy_rate_pct,estate_literacy_rate_pct
Total,91.1,92.6,89.7,93.4,91.7,75.1
LK-11,94.7,95.3,94.0,93.3,96.4,82.0
LK-12,95.4,95.7,95.1,93.7,95.7,88.0
LK-13,93.2,93.7,92.6,93.6,93.7,77.5
LK-21,90.5,92.4,88.7,94.7,91.2,74.6
LK-22,88.3,90.2,86.4,93.9,88.5,75.7
LK-23,82.6,87.6,77.7,92.9,88.9,76.6
LK-31,92.3,93.2,91.5,94.9,92.5,64.3
LK-32,90.3,91.9,88.9,95.9,90.8,53.3
LK-33,88.9,90.9,87.0,93.6,88.9,57.2
LK-53,85.9,88.9,82.9,88.9,85.2,
LK-61,92.7,93.9,91.5,94.8,92.7,81.0
LK-62,90.7,91.2,90.3,88.3,91.0,82.2
LK-71,90.5,92.0,88.8,96.0,90.0,96.4
LK-72,90.0,91.2,88.7,90.0,93.2,
LK-81,85.2,88.9,81.7,93.8,87.1,75.8
LK-82,86.0,88.1,83.8,86.2,77.2,
LK-91,88.4,90.4,86.2,94.3,89.8,72.3
LK-92,91.4,93.0,89.8,94.6,92.5,75.0
