district,tamil_speaking_english_pct,tamil_speaking_sinhala_pct,sinhala_speaking_tamil_pct,sinhala_speaking_english_pct,sl_moor_speaking_sinhala_pct,sl_moor_speaking_tamil_pct,other_speaking_sinhala_pct,other_speaking_tamil_pct
Total,4.0,13.2,64.6,24.1,50.8,8.7,60.9,20.6
Colombo,5.1,28.8,74.0,38.9,82.3,28.9,86.1,44.7
Gampaha,3.2,17.1,84.0,32.4,85.6,25.4,80.8,24.3
Kalutara,2.6,14.1,82.6,11.7,81.9,6.2,77.2,18.2
Kandy,7.3,17.1,74.9,25.9,57.0,10.1,70.7,26.2
Matale,5.2,9.4,76.3,19.6,65.1,7.4,71.5,25.9
Nuwara Eliya,16.8,10.9,52.6,18.7,35.0,8.6,72.1,22.2
Galle,1.4,12.3,87.0,6.0,88.0,3.2,86.3,23.2
Matara,1.5,8.9,85.4,4.3,74.6,1.9,84.4,19.7
Hambantota,1.0,6.1,89.3,6.7,84.7,7.1,94.9,27.9
Ampara,5.3,4.9,9.7,7.6,32.8,8.9,10.6,8.1
Kurunegala,1.7,8.4,88.7,11.9,86.4,13.5,80.7,15.0
Puttalam,6.0,8.2,67.1,9.6,67.0,6.2,33.3,7.0
Anuradhapura,2.3,6.5,80.4,11.8,82.2,14.9,60.8,10.6
Polonnaruwa,2.8,6.7,43.6,3.3,53.7,7.9,41.6,5.3
Badulla,10.1,9.8,67.6,19.6,46.1,8.2,80.2,17.8
Moneragala,2.9,5.1,68.3,7.0,56.1,4.5,78.1,8.3
Ratnapura,4.0,7.3,77.3,10.2,68.4,4.9,90.4,21.7
Kegalle,3.4,9.4,80.4,10.5,71.7,5.6,79.5,23.9
