district,avg_rooms_total,avg_rooms_permanent,avg_rooms_semi_permanent,avg_rooms_improvised
Total,3.9,4.4,2.8,1.4
Colombo,3.9,4.1,2.3,1.4
Gampaha,3.9,4.2,3.0,1.3
Kalutara,3.9,4.3,2.4,1.2
Kandy,4.2,4.7,2.9,1.3
Matale,4.1,4.9,3.2,1.4
Nuwara Eliya,3.4,3.9,2.7,1.7
Galle,3.9,4.4,2.6,1.3
Matara,4.1,4.6,2.8,1.4
Hambantota,3.8,4.5,2.9,1.3
Ampara,3.4,3.9,2.5,1.2
Kurunegala,4.2,4.9,3.1,1.6
Puttalam,3.5,4.2,2.4,1.6
Anuradhapura,3.8,4.5,3.0,1.4
Polonnaruwa,3.8,4.4,2.8,1.2
Badulla,4.1,4.7,3.0,1.3
Moneragala,3.7,4.6,2.9,1.5
Ratnapura,3.6,4.2,2.6,1.4
Kegalle,4.1,4.7,2.8,1.5
