region_id	region_name	total-population	population-in-urban-sector	population-in-urban-sector-pct	population-in-rural-sector	population-in-rural-sector-pct	population-in-estate-sector	population-in-estate-sector-pct
total	District-Total	16929689.0	2467301.0	14.6	13547710.0	80.0	914678.0	5.4
LK-11	Colombo	2251274.0	1229572.0	54.6	1014388.0	45.1	7314.0	0.3
LK-12	Gampaha	2063684.0	300933.0	14.6	1762028.0	85.4	723.0	0.0
LK-13	Kalutara	1066239.0	113188.0	10.6	915477.0	85.9	37574.0	3.5
LK-21	Kandy	1279028.0	155987.0	12.2	1030172.0	80.5	92869.0	7.3
LK-22	Matale	441328.0	36103.0	8.2	383468.0	86.9	21757.0	4.9
LK-23	Nuwara Eliya	703610.0	43073.0	6.1	283659.0	40.3	376878.0	53.6
LK-31	Galle	990487.0	109921.0	11.1	863309.0	87.2	17257.0	1.7
LK-32	Matara	761370.0	64361.0	8.5	676499.0	88.9	20510.0	2.7
LK-33	Hambantota	526414.0	21571.0	4.1	503410.0	95.6	1433.0	0.3
LK-52	Ampara	592997.0	112536.0	19.0	480461.0	81.0	0	0
LK-61	Kurunegala	1460215.0	34691.0	2.4	1418881.0	97.2	6643.0	0.5
LK-62	Puttalam	709677.0	65294.0	9.2	642210.0	90.5	2173.0	0.3
LK-71	Anuradhapura	745693.0	53151.0	7.1	691573.0	92.7	969.0	0.1
LK-72	Polonnaruwa	358984.0	0	0	358679.0	99.9	305.0	0.1
LK-81	Badulla	779983.0	51536.0	6.6	567178.0	72.7	161269.0	20.7
LK-82	Moneragala	397375.0	0	0	388226.0	97.7	9149.0	2.3
LK-91	Ratnapura	1015807.0	58245.0	5.7	855178.0	84.2	102384.0	10.1
LK-92	Kegalle	785524.0	17139.0	2.2	712914.0	90.8	55471.0	7.1
