region_id	region_name	aged-6-9-years	aged-10-14-years	aged-15-19-years	aged-6-14-years	aged-6-19-years
total	District-Total	94.4	92.2	52.6	93.2	77.9
LK-11	Colombo	93.2	90.3	46.3	91.6	72.9
LK-12	Gampaha	95.6	93.3	46.0	94.3	74.5
LK-13	Kalutara	93.8	91.2	51.5	92.3	76.6
LK-21	Kandy	94.8	93.2	60.0	93.9	81.3
LK-22	Matale	95.4	93.7	54.2	94.5	79.3
LK-23	Nuwara Eliya	91.0	88.7	50.9	89.7	75.8
LK-31	Galle	95.0	93.4	55.8	94.1	80.2
LK-32	Matara	94.8	93.6	60.5	94.1	82.0
LK-33	Hambantota	96.0	95.1	59.3	95.5	82.7
LK-52	Ampara	92.8	90.0	50.8	91.3	76.5
LK-61	Kurunegala	95.3	93.6	57.6	94.4	80.3
LK-62	Puttalam	93.5	88.9	41.9	91.0	72.5
LK-71	Anuradhapura	95.6	93.9	53.1	94.7	79.7
LK-72	Polonnaruwa	94.5	92.1	47.4	93.1	76.4
LK-81	Badulla	93.9	92.1	57.6	92.9	80.5
LK-82	Moneragala	95.6	94.1	56.2	94.7	81.5
LK-91	Ratnapura	93.3	90.8	51.8	91.9	77.2
LK-92	Kegalle	94.7	93.2	58.4	93.9	80.7
