region_id	region_name	total	urban	rural	estate
total	District-Total		6.3	8.1	
LK-11	Colombo		7.7	9.7	
LK-12	Gampaha		5.2	7.4	
LK-13	Kalutara		7.1	7.8	
LK-21	Kandy		5.5	5.6	
LK-22	Matale		5.1	5.2	
LK-23	Nuwara Eliya		9.7	7.1	
LK-31	Galle		5.2	5.2	
LK-32	Matara		5.3	4.5	
LK-33	Hambantota		4.1	8.5	
LK-52	Ampara		7.7	7.1	
LK-61	Kurunegala		5.2	9.3	
LK-62	Puttalam		8.3	10.3	
LK-71	Anuradhapura		4.9	4.8	
LK-72	Polonnaruwa		6.2	0	
LK-81	Badulla		6.6	4.6	
LK-82	Moneragala		4.9	0	
LK-91	Ratnapura		7.7	6.2	
LK-92	Kegalle		5.6	8.1	
